Geneid	gene_name	Fast_A3_1Aligned.sortedByCoord.out.bam	OF_A7_1Aligned.sortedByCoord.out.bam	s_3DPF_C4_1Aligned.sortedByCoord.out.bam	OFF_A10_1Aligned.sortedByCoord.out.bam	Fast_A6_1Aligned.sortedByCoord.out.bam	OFF_A13_1Aligned.sortedByCoord.out.bam	OF_A8_1Aligned.sortedByCoord.out.bam	s_3DPF_A4_1Aligned.sortedByCoord.out.bam
CCNO	NA	0	2	0	0	0	0	3	1
DHX29	NA	399	439	489	618	477	607	684	473
MTREX	NA	658	672	792	972	766	889	954	809
PLPP1	NA	1453	2043	2547	2111	1769	2363	2805	2569
SLC38A9	NA	216	265	248	226	216	328	304	271
DDX4	NA	22	27	54	241	33	31	75	48
IL31RA	NA	77	125	215	127	131	169	281	149
IL6ST	NA	590	610	749	716	565	669	897	640
HMGA2	NA	16	15	25	36	26	31	34	39
LOC112541528	NA	1	13	1	2	4	3	2	6
LLPH	NA	327	322	588	577	445	509	672	597
TMBIM4	NA	606	1140	1210	806	828	969	1259	1243
GRIP1	NA	25	76	86	47	18	65	104	99
CMTM8	NA	24	64	42	33	28	125	42	39
CMTM7	NA	55	80	71	75	106	112	120	98
CMTM6	NA	383	343	295	534	536	433	351	361
DYNC1LI1	NA	504	482	1017	867	612	770	1105	1007
CNOT10	NA	460	500	572	730	570	655	648	557
TRIM71	NA	0	0	0	0	0	0	0	0
TCAIM	NA	801	758	991	996	868	1096	1273	1150
TOPAZ1	NA	113	14	69	142	172	39	47	42
LOC112541531	NA	2	3	1	0	1	1	3	1
ABHD5	NA	127	297	237	246	151	265	405	334
ANO10	NA	61	112	203	99	75	120	308	269
SNRK	NA	2244	1563	2966	2997	2750	3949	3354	3283
TTLL7	NA	71	202	109	177	47	137	192	271
PRKACB	NA	1215	1282	2141	1726	1462	1761	2379	2090
SAMD13	NA	4	2	4	0	0	0	1	1
LOC103058911	NA	0	0	0	0	0	0	0	0
RPF1	NA	454	298	569	640	638	686	547	601
SPATA1	NA	19	15	28	26	23	34	37	34
CTBS	NA	120	897	766	281	194	232	959	655
LOC112541566	NA	3	0	0	0	1	0	0	0
LOC112541567	NA	0	0	0	0	0	0	0	0
SSX2IP	NA	35	50	98	36	47	49	118	86
LOC107326294	NA	0	0	0	0	0	0	0	0
LPAR3	NA	3	0	1	0	0	0	0	0
MCOLN2	NA	2	9	16	17	13	4	17	5
MCOLN3	NA	4	10	1	5	2	5	6	4
FOXA2	NA	0	0	0	1	0	3	0	0
LOC112541574	NA	0	0	0	0	2	0	0	0
LOC112541575	NA	0	0	0	0	0	0	0	0
PAX1	NA	1	0	0	0	0	0	0	0
LOC112541569	NA	1	0	0	0	0	0	0	1
NKX2-2	NA	0	0	0	1	0	0	0	0
NKX2-4	NA	0	0	0	0	1	0	0	1
XRN2	NA	1196	1525	1950	1872	1476	1905	1855	2000
KIZ	NA	291	150	330	492	340	361	341	280
IQCA1	NA	12	6	13	36	13	31	13	24
ACKR3	NA	486	502	779	1047	642	554	749	861
COPS8	NA	645	1227	1188	1019	777	1032	1502	1094
COL6A3	NA	1195	7359	5312	3292	1477	2551	8454	5739
MLPH	NA	248	158	306	327	333	271	275	317
PRLH	NA	0	0	0	0	1	3	0	0
LOC103047970	NA	0	0	0	0	0	0	0	0
PIN1	NA	1418	2625	3198	2398	1824	2336	3631	3323
UBL5	NA	3234	2842	3284	4801	4675	4277	4123	3891
FBXL12	NA	247	323	261	320	355	323	295	233
LOC103048205	NA	0	0	0	1	0	0	0	0
LOC103048437	NA	0	0	0	0	0	0	0	0
LOC103048663	NA	23	59	136	21	31	73	71	153
LOC103048895	NA	38	20	33	38	34	44	38	46
CHCHD5	NA	95	166	132	164	105	134	240	254
ATP13A1	NA	332	862	635	531	396	578	781	762
MVB12A	NA	128	397	329	231	145	198	412	333
DSN1	NA	18	150	37	35	23	28	110	39
LOC112541614	NA	5	0	7	0	3	2	2	4
PBX4	NA	148	215	224	186	184	217	268	162
LPAR2	NA	23	38	16	34	37	27	28	29
GMIP	NA	32	115	92	137	70	55	112	75
LOC103055970	NA	0	0	2	2	2	5	0	0
LOC103049384	NA	3	12	21	7	10	4	12	20
LOC103049617	NA	0	1	2	0	1	0	2	0
LOC103049866	NA	325	451	478	562	433	508	507	449
IL27	NA	16	7	7	14	30	12	14	4
LOC103056210	NA	73	124	76	178	103	179	168	81
CLN3	NA	253	578	294	378	354	453	435	250
LOC103050361	NA	5040	3769	3671	6588	7363	6438	3457	3717
PRODH2	NA	3	1	1	2	1	1	1	2
LOC103050771	NA	2	1	0	0	0	0	0	0
LOC112541664	NA	4	2	2	6	9	5	8	1
LOC103050993	NA	238	463	303	397	398	426	483	312
LOC103051237	NA	6	24	23	38	14	21	37	19
SPNS1	NA	465	727	525	652	618	807	698	571
NFATC2IP	NA	282	558	520	437	363	446	560	545
LOC103052013	NA	288	357	351	1134	337	409	486	412
CD19	NA	29	20	14	18	20	10	32	15
ATP2A1	NA	4	6	15	34	1	3	9	9
LOC112541650	NA	0	0	0	0	0	0	0	0
SH2B1	NA	332	439	420	479	446	507	434	350
ATXN2L	NA	671	1091	1104	970	886	1074	1021	1174
TUFM	NA	1800	5922	5734	2920	2125	2440	6168	6149
RABEP2	NA	381	618	553	573	482	570	557	612
LOC103053741	NA	26	48	38	51	34	44	42	33
LOC112541623	NA	4	2	3	0	1	8	0	2
LOC103056924	NA	3	0	9	5	3	6	3	10
LOC103054142	NA	18	26	36	52	27	31	35	43
LOC112541665	NA	0	0	0	0	0	0	0	4
LOC103054297	NA	662	1453	1759	1251	1022	1434	1296	2153
LOC103055181	NA	0	0	0	0	0	0	0	0
LOC103055424	NA	0	0	0	0	0	0	0	0
LOC103057154	NA	1299	2896	2169	1867	1475	2323	2518	2773
LOC112541697	NA	0	0	0	0	0	0	0	0
LOC103060927	NA	0	0	0	0	0	0	0	0
EHMT1	NA	1491	1934	1817	2435	2088	2461	1697	1749
ARRDC1	NA	160	222	203	243	189	228	207	221
LOC103058433	NA	222	679	326	404	265	108	568	405
NELFB	NA	463	925	681	822	668	713	811	615
LOC112541667	NA	16	32	37	46	29	52	45	48
CAMSAP1	NA	885	1069	1072	1426	1212	1507	1421	1055
LOC112541676	NA	0	0	5	1	1	3	1	5
LOC112541699	NA	0	3	1	0	3	0	3	1
LOC112541700	NA	1	1	0	0	0	0	0	0
KCNT1	NA	2	9	8	6	0	1	2	6
LOC103059392	NA	35	18	62	102	52	121	55	39
LOC103061410	NA	17	26	18	39	47	58	20	34
PSMD5	NA	959	953	914	1340	1292	1330	928	908
PHF19	NA	53	385	221	138	44	79	601	184
TRAF1	NA	22	19	25	33	13	20	21	27
C5	NA	2	23	4	18	7	2	22	11
CNTRL	NA	1477	883	1471	2295	2022	2478	1789	1420
RAB14	NA	1422	3031	2546	2196	1771	2058	3031	2466
GSN	NA	29456	26222	32456	17894	39074	39164	24675	31247
LOC103062358	NA	48	49	30	38	47	125	38	32
LOC103062601	NA	4	33	10	21	17	51	24	18
LOC103062839	NA	1298	1543	1483	1398	1942	2930	1443	1438
LOC112541696	NA	2	7	16	0	0	3	9	1
LOC103063073	NA	58	246	140	94	76	106	199	145
SAMM50	NA	2344	3156	4698	2675	2943	2993	3849	5245
PARVB	NA	3749	5228	4349	4796	5735	4261	4374	4307
LOC103048977	NA	1	6	3	15	5	7	4	9
TGFB1	NA	131	270	238	195	169	216	295	192
CCDC97	NA	364	405	494	607	496	530	360	417
HNRNPUL1	NA	1647	2120	1711	2247	2248	2242	1802	1717
AXL	NA	148	436	308	277	157	317	414	352
CLPTM1	NA	1006	1305	1099	1457	1402	1546	1168	1137
RELB	NA	335	414	489	604	574	789	451	555
CLASRP	NA	2322	1142	2339	3068	3226	3942	2044	2822
GEMIN7	NA	114	277	166	168	114	156	238	222
PPP1R37	NA	2108	1813	1283	2456	2503	2889	1641	1255
NKPD1	NA	101	216	143	143	109	106	148	139
LOC103049214	NA	1	1	0	2	3	0	1	0
BLOC1S3	NA	95	179	132	123	117	155	102	85
LOC103049463	NA	3	1	3	6	2	3	13	4
LOC112541710	NA	1	1	0	1	0	0	1	1
LOC103047971	NA	100	208	89	160	147	358	181	92
APOE	NA	1287	2492	865	2489	1555	1941	2225	735
LOC107326326	NA	0	1	0	0	0	0	0	0
TOMM40	NA	1822	1992	1346	1579	2317	1858	1695	1486
NECTIN2	NA	517	593	464	665	596	677	475	500
LOC103050191	NA	411	617	693	825	535	946	921	636
KCNH7	NA	232	172	176	230	272	120	266	232
LOC103050436	NA	1740	962	1880	1794	2229	2470	1619	2420
IFIH1	NA	334	186	361	976	412	361	352	482
FAP	NA	28	94	91	41	35	54	106	106
GCG	NA	3	1	3	6	9	13	5	3
DPP4	NA	28	85	78	22	41	50	75	40
SLC4A10	NA	20	27	37	14	10	16	61	20
TBR1	NA	0	0	0	0	0	0	0	0
NKX2-1	NA	0	0	0	0	0	0	0	0
NKX2-8	NA	0	0	0	0	0	0	0	0
PAX9	NA	0	0	0	0	0	1	0	0
SLC25A21	NA	46	49	53	88	32	84	66	80
FBXO30	NA	885	452	754	1131	940	1272	902	711
SHPRH	NA	547	361	506	883	650	863	534	543
GRM1	NA	0	0	0	0	0	0	0	0
ZCCHC7	NA	90	70	130	141	123	108	94	105
GRHPR	NA	530	1834	1319	881	793	854	1790	1267
ZBTB5	NA	383	261	444	529	503	589	404	438
POLR1E	NA	317	467	478	494	415	428	440	489
FBXO10	NA	400	342	400	565	505	668	437	487
SLC25A51	NA	221	605	530	333	246	303	705	605
DCAF10	NA	783	758	1109	1075	866	1151	1228	1090
LOC103057247	NA	1153	1935	1817	1600	1603	1635	2581	1884
LOC112541792	NA	2	3	1	12	15	11	22	4
TRMT10B	NA	216	125	233	250	274	299	206	251
FRMPD1	NA	8025	3358	5971	9385	8884	8623	4880	5794
TOMM5	NA	1009	1127	1189	1510	1409	1174	1360	1162
IGFBPL1	NA	3	4	3	2	1	0	9	2
MYL10	NA	0	0	0	0	0	0	0	0
COL26A1	NA	0	0	0	0	1	0	0	0
PFN4	NA	0	0	0	0	1	0	0	0
IFT22	NA	134	339	238	242	165	179	328	157
RABEP1	NA	1526	907	1626	2333	1959	2367	2115	1805
NUP88	NA	355	594	520	547	462	590	611	529
RPAIN	NA	195	173	173	217	293	207	214	175
MIS12	NA	40	113	84	70	65	45	130	71
DERL2	NA	191	181	261	258	202	307	245	308
DHX33	NA	215	217	186	265	262	267	208	249
C1QBP	NA	8319	6425	4794	7094	11859	7720	5135	5200
LOC103062031	NA	228	211	299	413	312	299	272	230
PLD1	NA	409	593	498	481	476	646	403	691
LOC112541821	NA	16	16	16	17	28	43	11	20
TNIK	NA	3769	3045	4617	4457	3324	4131	5056	4262
LOC112541838	NA	2	6	9	0	0	4	6	6
SLC2A2	NA	2	0	5	7	1	1	6	3
EIF5A2	NA	726	559	998	997	929	984	1248	1020
RPL22L1	NA	1368	865	1212	1555	2060	1778	1083	1235
SLC7A14	NA	3	0	0	0	0	0	0	0
HTR5A	NA	0	0	0	0	0	3	0	0
PAXIP1	NA	287	243	335	435	317	423	348	341
DPP6	NA	5	2	5	1	20	0	2	4
LOC112541844	NA	0	0	0	0	0	0	0	0
ASCC3	NA	389	882	884	739	333	484	965	1094
SIM1	NA	1	2	3	0	1	1	11	1
LOC112541850	NA	0	0	0	1	0	0	0	0
LOC112541849	NA	0	0	3	0	0	0	0	1
PHACTR1	NA	60	77	108	62	95	46	107	55
LOC103066269	NA	141	342	341	199	164	251	361	297
GFOD1	NA	317	370	375	418	323	506	624	450
LOC103067058	NA	720	841	556	969	845	860	1346	657
PAK1IP1	NA	197	151	267	301	288	253	259	221
LOC103067289	NA	722	768	866	1101	810	1061	935	789
NUP153	NA	717	693	810	957	849	1040	905	834
FAM8A1	NA	421	429	474	479	483	505	508	642
CAP2	NA	2014	2546	4110	2379	2211	2456	4022	4405
LOC112541862	NA	68	12	27	56	90	77	20	29
RBM24	NA	8035	3939	6433	12714	10733	13709	5759	6680
STMND1	NA	286	66	207	292	452	501	116	338
CEP112	NA	29	18	32	29	49	38	59	31
AXIN2	NA	1303	552	939	2314	2721	2422	900	871
RGS9	NA	2	6	4	0	0	1	7	5
GNA13	NA	761	647	914	1132	855	1096	1077	933
AMZ2	NA	130	141	200	170	171	174	233	203
ARSG	NA	93	233	220	186	134	140	288	214
SLC16A6	NA	194	118	1006	255	377	767	226	457
CCDC146	NA	1	0	3	1	7	22	7	3
GSAP	NA	362	192	635	568	473	599	542	646
PTPN12	NA	222	276	424	376	289	414	430	537
RSBN1L	NA	252	169	258	381	243	420	215	225
TMEM60	NA	206	289	257	275	295	200	279	275
PHTF2	NA	461	683	827	605	610	703	1208	800
MAGI2	NA	1384	1183	2131	2310	2041	2515	2076	2062
TOX	NA	4	0	2	8	5	1	1	4
NSMAF	NA	288	262	322	434	375	478	377	311
SDCBP	NA	489	609	825	608	530	763	963	869
NR5A2	NA	11	20	13	2	3	36	29	8
ZNF281	NA	156	208	290	268	210	289	267	277
KIF14	NA	0	63	11	3	0	4	114	10
DDX59	NA	156	241	257	290	194	306	297	254
CAMSAP2	NA	27	40	40	52	22	65	33	36
LOC103056925	NA	875	800	907	1374	1089	1640	1081	1033
LOC103056678	NA	116	79	181	175	170	286	212	179
LOC103058114	NA	44	18	19	22	79	91	20	7
LOC112541923	NA	18	1	6	5	10	13	19	10
LOC103057320	NA	3	4	4	2	5	2	7	0
LOC112541916	NA	0	0	0	1	0	0	0	0
FAM20A	NA	45	232	40	71	19	207	281	40
PRKAR1A	NA	2019	4271	2882	3141	2468	2888	4221	3173
LOC112541915	NA	41	96	63	56	54	66	153	92
WIPI1	NA	129	246	133	252	174	258	233	101
LOC103058584	NA	127	250	217	195	155	136	293	241
LOC112541930	NA	0	0	0	0	1	1	1	0
TMEM182	NA	5156	4867	7374	6019	5909	7405	6804	7243
LOC112541937	NA	39	28	29	36	49	22	24	55
MFSD9	NA	814	1342	1494	1041	941	1236	1743	1376
LOC103059292	NA	6	1	13	1	8	10	5	11
LOC112541954	NA	0	0	0	0	0	0	3	1
BANK1	NA	11	17	17	16	12	10	14	27
PPP3CA	NA	604	508	718	812	662	739	877	887
EMCN	NA	4364	4119	5461	5013	5291	4522	5457	5301
CPS1	NA	19	102	44	8	11	40	46	64
LANCL1	NA	1035	1913	1530	1478	1330	1527	1951	1419
MYL1	NA	1	5	0	0	3	1	1	1
ACADL	NA	608	635	824	820	781	731	1165	769
KANSL1L	NA	276	141	367	389	372	435	365	357
RPE	NA	291	357	554	469	370	450	677	613
UNC80	NA	8	9	11	11	21	18	10	13
KCNJ16	NA	0	0	0	0	0	0	1	0
KCNJ2	NA	34	22	39	35	11	50	40	68
LOC103064498	NA	2	0	0	1	3	0	0	0
LOC103065373	NA	504	1092	681	882	802	691	897	708
LOC103064980	NA	285	376	378	451	374	528	458	388
LOC112541979	NA	0	3	5	2	2	3	1	5
WDR35	NA	131	148	191	256	202	273	221	190
THRB	NA	20	16	18	13	12	22	27	22
NR1D2	NA	396	129	274	418	379	440	278	163
RPL15	NA	22640	20816	20286	29278	31621	29223	17816	21486
NKIRAS1	NA	79	26	80	115	59	110	73	66
UBE2E1	NA	1529	787	1420	2159	1587	1353	1071	1218
LOC103067825	NA	206	97	201	276	239	311	225	204
LOC103067975	NA	367	274	345	594	435	590	412	378
SGPL1	NA	109	344	299	200	103	181	353	312
TBATA	NA	0	0	0	0	0	0	0	0
LOC103049947	NA	1	4	4	6	1	7	2	2
ADAMTS14	NA	8	80	57	46	26	93	95	59
PALD1	NA	523	754	723	957	589	952	720	893
LOC103050438	NA	2475	2324	1679	3085	2965	3826	2046	1756
LRRC20	NA	887	1370	1010	1075	1151	1019	1390	1181
NPFFR1	NA	2	0	0	18	0	18	0	0
PPA1	NA	198	555	761	267	221	335	734	818
SAR1A	NA	682	1126	1281	1030	744	1036	1424	1274
TYSND1	NA	112	456	305	198	134	188	429	369
SPOCK2	NA	0	77	28	1	9	12	92	28
LOC112542021	NA	0	0	0	0	2	0	0	0
ALPK2	NA	6	8	9	12	10	9	16	15
MALT1	NA	244	292	333	420	351	343	453	319
LOC112542024	NA	4	7	8	9	9	9	5	5
ZNF532	NA	219	284	326	308	314	420	233	291
LOC112542017	NA	12	11	11	31	23	17	22	15
SEC11C	NA	1177	2727	3156	1929	1581	1763	3104	2901
GRP	NA	0	3	0	0	0	0	0	1
RAX	NA	0	0	0	0	0	0	0	0
CPLX4	NA	0	0	0	0	0	0	0	0
LMAN1	NA	614	1382	1716	1094	851	1072	1839	1764
CCBE1	NA	27	19	45	23	33	21	15	25
LOC103053423	NA	0	1	0	0	4	1	4	0
CA10	NA	0	0	0	1	0	0	1	1
CXCR6	NA	39	16	29	34	24	45	34	28
LOC103054392	NA	1280	974	1403	1777	1283	1719	1579	1323
XCR1	NA	0	0	0	0	0	0	0	0
LOC103054628	NA	39	89	96	79	57	70	111	71
LOC103054863	NA	160	134	126	139	163	136	143	187
TOPBP1	NA	279	315	453	466	391	397	544	479
CDV3	NA	1689	2560	3353	2276	1972	2788	3405	3465
BFSP2	NA	7	19	13	6	2	7	20	16
TMEM108	NA	12	29	23	19	22	15	19	35
NPHP3	NA	482	323	467	830	682	709	607	441
UBA5	NA	372	439	771	533	494	595	853	787
ACAD11	NA	262	617	682	579	440	587	662	728
ACKR4	NA	10	12	18	17	13	34	31	19
DNAJC13	NA	580	543	791	911	678	854	902	849
LOC112542041	NA	1	0	0	1	1	0	4	2
PARD3B	NA	403	243	353	401	401	505	352	328
TLK2	NA	512	531	571	782	687	846	614	565
LOC103059714	NA	253	231	234	313	260	327	234	196
LOC103060121	NA	2	0	0	0	0	1	0	0
EFCAB13	NA	0	0	0	0	0	0	0	0
ITGB3	NA	227	378	465	332	355	247	450	496
LOC103062840	NA	4	2	1	3	1	3	3	1
GOSR2	NA	129	280	280	225	211	217	251	251
WNT9B	NA	0	0	0	0	1	0	0	0
WNT3	NA	1	1	0	1	1	0	0	0
NSF	NA	289	822	837	455	384	449	1041	804
PSMD11	NA	922	1597	1661	1380	1155	1455	1680	1518
GALR1	NA	40	32	167	26	11	4	44	23
AMBRA1	NA	468	667	578	716	538	684	739	653
HARBI1	NA	41	98	89	75	50	68	124	135
ATG13	NA	1322	1869	1130	1765	1555	1811	1564	1020
ARHGAP1	NA	1234	2228	2064	1710	1489	1953	2622	2058
ZNF408	NA	228	288	332	359	274	289	413	396
F2	NA	8	10	25	20	26	24	18	16
LOC107326413	NA	329	298	403	465	430	453	466	440
CKAP5	NA	649	742	778	897	781	936	999	828
LOC112542122	NA	0	0	1	3	3	0	1	1
LRP4	NA	377	800	922	613	403	593	638	1202
LOC112542095	NA	8	23	22	5	4	14	36	21
CUX1	NA	7521	7773	6352	7334	10014	8567	6158	6400
SH2B2	NA	428	599	668	810	499	228	783	586
PRKRIP1	NA	353	349	406	530	521	508	400	351
ORAI2	NA	3	7	11	5	6	10	8	9
ALKBH4	NA	93	82	76	158	85	131	116	90
LRWD1	NA	350	562	564	507	483	516	619	527
POLR2J	NA	451	558	593	788	542	657	734	701
RASA4B	NA	57	90	65	40	82	131	101	64
RNGTT	NA	248	161	282	401	258	415	318	274
PNRC1	NA	817	649	657	1781	948	1965	588	545
SRSF12	NA	287	281	328	472	303	385	358	336
PM20D2	NA	937	260	434	1208	1406	1391	577	515
LOC103049868	NA	3	0	0	0	0	3	2	0
LOC103050111	NA	5	12	6	9	9	38	25	6
UBE2J1	NA	254	218	361	404	324	394	343	322
RRAGD	NA	886	380	617	1318	1106	1122	873	767
ANKRD6	NA	1196	1231	1749	1665	1371	1550	1797	1839
LOC103050847	NA	11	5	12	12	9	25	8	16
LYRM2	NA	223	356	425	256	264	255	399	452
MDN1	NA	748	524	791	1047	863	1089	849	919
CASP8AP2	NA	141	97	175	202	152	208	185	166
FBLN2	NA	1988	2426	2494	3060	3754	4437	2550	3566
WNT7A	NA	1	2	2	0	0	9	0	0
FBXW12	NA	267	451	494	326	307	328	537	472
PTPDC1	NA	119	81	253	174	121	244	272	221
LOC103053745	NA	313	589	919	629	347	402	763	720
LOC112542179	NA	36	97	151	88	68	92	125	111
IRX5	NA	617	467	578	755	623	673	376	490
LOC112542182	NA	274	194	295	378	363	381	207	205
PTBP2	NA	245	167	278	345	255	345	327	283
LOC103055268	NA	73	154	252	203	107	97	299	210
LOC103055506	NA	25	97	57	63	27	49	107	95
CUNH3orf18	NA	89	295	284	75	85	125	450	267
LOC112542194	NA	20	12	7	25	29	27	19	7
NCKAP5	NA	296	92	178	309	318	202	199	171
LOC112542202	NA	39	16	51	37	44	43	37	35
LYPD1	NA	81	74	120	96	108	65	87	61
GPR39	NA	113	117	154	157	143	108	104	138
SLC35F5	NA	511	459	691	789	751	825	948	848
LOC112542204	NA	44	63	59	47	48	76	76	59
ACTR3	NA	657	1366	1653	1097	907	965	1955	1923
TFAP2C	NA	11	13	16	13	6	0	7	7
RTF2	NA	1503	1280	1670	2252	1990	2140	1752	1512
GCNT7	NA	1061	1240	1678	2314	1568	2011	1521	2231
CASS4	NA	3	9	20	31	12	15	26	22
CSTF1	NA	230	283	369	349	289	359	389	353
AURKA	NA	11	112	22	21	14	14	58	14
FAM210B	NA	600	1212	1084	769	767	751	1271	989
LOC112542225	NA	0	0	0	0	0	0	0	0
MC3R	NA	0	0	0	0	0	0	0	0
PHOSPHO2	NA	321	664	735	534	309	548	883	910
CCDC173	NA	24	36	33	49	31	31	65	31
PPIG	NA	821	338	907	1219	1020	1120	1005	946
FASTKD1	NA	214	217	328	326	242	297	311	356
KLHL41	NA	21557	20200	14438	26053	29758	36722	20512	15930
BBS5	NA	190	117	203	307	256	273	221	272
LOC103063312	NA	0	0	3	0	1	0	0	1
LRP2	NA	1	0	0	0	5	0	1	0
DHRS9	NA	7	5	2	4	2	5	8	1
ABCB11	NA	15	5	0	5	3	2	1	0
LOC112542250	NA	0	0	0	0	0	0	0	0
SPC25	NA	0	23	7	6	0	2	73	5
NOSTRIN	NA	0	28	3	2	0	3	59	3
CERS6	NA	78	165	173	112	87	101	185	176
CUNH16orf78	NA	0	1	0	0	0	0	0	0
CBLN1	NA	0	0	0	0	0	0	0	0
N4BP1	NA	359	473	374	605	441	477	466	339
LOC112542254	NA	3	2	7	16	6	3	9	2
SIAH1	NA	695	743	789	956	809	894	749	742
LONP2	NA	1353	1997	1585	1808	1730	1897	2044	1483
ABCC12	NA	17	2	11	17	18	16	6	12
LOC103064981	NA	495	792	1014	694	691	754	1138	1038
ZNF804A	NA	7	8	7	19	15	39	6	10
CTIF	NA	399	635	561	445	386	496	724	550
SMAD7	NA	796	1810	1498	1323	1000	856	1740	1375
DYM	NA	1523	2009	1719	1945	1745	1942	1884	1739
CLVS1	NA	0	0	0	0	0	0	0	0
ASPH	NA	1265	1210	2857	2400	1808	2319	3115	2904
NKAIN3	NA	0	1	7	1	0	0	3	9
GGH	NA	222	197	296	278	312	324	388	326
TTPA	NA	24	15	34	31	23	56	36	39
LOC103067362	NA	353	358	486	556	406	606	639	465
YTHDF3	NA	1183	1529	1797	1819	1471	1675	1848	1794
CUNH5orf24	NA	630	586	990	984	747	1041	1066	1045
DDX46	NA	1379	1048	1947	1934	1551	1889	2330	2017
CAMLG	NA	299	321	554	481	327	535	577	553
SEC24A	NA	250	279	360	422	275	421	378	455
SAR1B	NA	672	1025	1242	1052	803	1054	1544	1488
LOC112542311	NA	78	59	65	105	130	111	113	98
JADE2	NA	632	349	313	566	558	549	405	309
CDKN2AIPNL	NA	679	795	1307	859	893	815	1346	1365
UBE2B	NA	581	420	569	787	707	870	627	607
CDKL3	NA	152	46	124	195	194	214	193	170
LOC103050998	NA	91	71	117	151	120	181	138	140
PPP2CA	NA	1062	1783	1865	1505	1291	1355	2098	1945
ZEB2	NA	2026	1488	2626	2805	2546	3290	3329	2555
GTDC1	NA	244	237	345	405	264	434	343	313
EN1	NA	0	0	0	0	0	0	0	0
LOC103052494	NA	1100	1326	1960	1582	1233	1623	2341	1906
LOC112542335	NA	5	11	24	11	18	11	14	40
CCDC93	NA	426	276	585	729	703	665	604	696
RPN1	NA	649	2026	1979	1097	878	1069	2229	2161
RAB7A	NA	2091	3652	3356	3375	2468	3265	4278	3339
LOC112542347	NA	36	116	103	62	43	70	125	74
LOC103053982	NA	670	3191	1581	1213	982	1118	2187	595
LOC103054224	NA	914	728	807	1103	1050	1180	853	915
HMCES	NA	560	898	961	745	658	708	1182	927
COPG1	NA	870	1001	1082	1561	1221	1327	1192	1150
COL7A1	NA	73	18	42	62	100	123	28	45
LOC103055348	NA	6533	17116	17411	8962	7786	8709	16964	17271
SLC26A6	NA	0	1	0	0	1	0	0	0
CELSR3	NA	6	5	6	4	10	6	13	7
NCKIPSD	NA	137	222	217	202	125	186	229	202
TSHZ3	NA	68	117	90	113	57	111	102	83
MTMR8	NA	988	1107	1557	1558	1380	1109	1359	1512
ASB12	NA	164	282	685	349	193	136	435	471
AMER1	NA	220	411	343	191	204	150	259	249
ARHGEF9	NA	162	370	241	233	178	557	395	314
LOC112542374	NA	2	10	16	3	6	2	7	15
LOC103057723	NA	767	2067	1530	1260	799	1067	1993	1926
LOC103057965	NA	433	203	520	837	614	917	583	587
RASGEF1C	NA	28	20	48	40	26	26	28	32
MAPK9	NA	270	263	377	215	214	250	350	344
GFPT2	NA	295	295	580	335	317	382	387	641
CNOT6	NA	859	684	1013	1219	1025	1155	1201	1042
LOC103060353	NA	1838	3112	2115	2532	1255	1435	4402	2179
LOC103060599	NA	56	524	417	248	73	131	605	388
SETBP1	NA	442	421	578	498	437	666	615	505
LOC112542398	NA	21	33	30	32	27	46	45	34
SCGN	NA	0	5	4	1	0	0	7	0
CARMIL1	NA	361	361	524	780	323	522	556	444
RIPOR2	NA	20	15	16	27	13	22	52	29
ARMH2	NA	0	0	0	0	0	0	0	0
GMNN	NA	120	264	230	241	221	210	336	283
CUNH6orf62	NA	2743	3662	4475	3968	3488	3847	3982	4479
ACOT13	NA	794	969	1224	1130	1015	1130	1537	1111
TDP2	NA	231	150	172	317	248	351	189	170
KIAA0319	NA	865	289	395	1550	1217	1636	594	420
ALDH5A1	NA	1132	1642	2082	1764	1407	1847	2735	2041
GPLD1	NA	33	23	35	82	34	52	41	37
MRS2	NA	109	132	194	158	140	150	175	160
UGGT1	NA	437	482	753	705	573	726	814	707
SAP130	NA	290	416	361	487	365	624	410	399
LOC112542456	NA	17	22	23	15	17	16	12	17
AMMECR1L	NA	463	579	813	637	517	681	792	799
POLR2D	NA	595	544	860	891	742	801	962	808
WDR33	NA	646	766	738	933	707	914	888	745
SFT2D3	NA	399	384	640	539	483	767	570	634
LIMS2	NA	986	1285	2326	1388	1414	1770	2002	2861
GPR17	NA	26	26	90	50	34	78	58	71
MYO7B	NA	97	45	124	85	88	173	103	173
IWS1	NA	1438	998	1642	1999	1749	2036	1752	1772
LOC103049058	NA	1	0	0	0	1	0	0	0
LOC103049304	NA	0	0	0	0	2	0	0	0
DGKD	NA	347	279	598	562	395	653	562	514
LOC112542469	NA	1	0	5	7	6	2	9	6
SAG	NA	72	10	22	71	109	74	35	23
ATG16L1	NA	1128	1215	1383	1695	1528	1631	1329	1309
LOC112542472	NA	3	5	1	1	6	3	6	4
INPP5D	NA	80	61	79	157	78	70	161	112
AGL	NA	600	1358	1124	902	567	820	1582	1232
LOC103050684	NA	177	423	344	257	230	607	581	409
PALMD	NA	360	1267	1033	485	495	1480	1438	957
PLPPR4	NA	1	8	9	3	0	4	7	2
PLPPR5	NA	10	196	87	40	7	40	239	153
SHISA9	NA	0	0	0	0	0	0	0	0
CPPED1	NA	312	758	504	480	427	449	605	521
SNX29	NA	129	237	157	168	106	165	168	155
GSPT1	NA	878	2494	1713	1444	1098	1394	2375	1621
